"hitl_seq_no","timestamp","source_document","keyword_anchor","context_snippet","llm_advisor_judgment","suggested_options_provided","user_provided_file","user_provided_page","action_status"
"10","2026-05-28 12:28:10","2.4-nonclinical-overview.pdf","Section 4.1","...maries are provided in Sections 2.6.1 through 2.6.6 of this Module 2.  Refer to Section 4.1 (Module 4 Table of Contents) for a complete listing of all nonclinical studies...","RECOMMENDATION: Option 3  
REASON: The snippet points to Module 4 for a complete listing of nonclinical studies, and Option 3 is a Module 4 nonclinical study report section.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '2.4-nonclinical-overview.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.4.1 Overview of the Nonclinical Testing Strategy'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '5.2-tabular-listing.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Nexivarin 10 mg Tablets - eCTD Submission Module 5 - Clinical Study Reports'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '4.2.1.3-safety-pharm.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Nexivarin 10 mg Tablets - eCTD Submission Module 4 - Nonclinical Study Reports'}]","4.2.1.3-safety-pharm.pdf","3","ROUTED"
"11","2026-05-28 12:29:23","2.5-clinical-overview.pdf","Section 5.4","...demiology of hypertension and therapeutic landscape are referenced in Module 5, Section 5.4 (Literature References); see References [1] and [3] in Section 5.4 for the 2017...","RECOMMENDATION: Option 1  
REASON: The snippet explicitly points to Module 5, Section 5.4 (Literature References), which matches Option 1’s section and file.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '5.4-references.pdf', 'suggested_target_page': 3, 'semantic_title_context': '5.4 Literature References - Module 5'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '2.5-clinical-overview.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.5.1 Product Development Rationale'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '5.4-references.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Section 5.4 Literature References - Module 5'}]","5.4-references.pdf","3","ROUTED"
"12","2026-05-28 12:30:08","2.5-clinical-overview.pdf","Section 5.3.1","...tered without regard to meals. The complete biopharmaceutics study report is in Section 5.3.1 (Module 5); the biopharmaceutics summary is in Section 2.7.1.  Refer to Section...","RECOMMENDATION: Option 1  
REASON: The snippet discusses biopharmaceutics content and already points to the biopharmaceutics summary in Module 2, making the biopharmaceutics overview the most logical cross-reference.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '2.5-clinical-overview.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.5.2 Overview of Biopharmaceutics'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '2.3-qos.pdf', 'suggested_target_page': 5, 'semantic_title_context': '2.3.P.2 Pharmaceutical Development'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '2.4-nonclinical-overview.pdf', 'suggested_target_page': 4, 'semantic_title_context': '2.4.3 Pharmacokinetics'}]","","0","SKIPPED"
"13","2026-05-28 12:30:32","2.5-clinical-overview.pdf","Section 2.7.1","...study report is in Section 5.3.1 (Module 5); the biopharmaceutics summary is in Section 2.7.1.  Refer to Section 5.3.1 (Module 5) for the complete bioavailability and food-e...","RECOMMENDATION: Option 1  
REASON: The snippet discusses biopharmaceutics and points to a biopharmaceutics summary, which aligns best with the “Overview of Biopharmaceutics” section.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '2.5-clinical-overview.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.5.2 Overview of Biopharmaceutics'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '2.3-qos.pdf', 'suggested_target_page': 5, 'semantic_title_context': '2.3.P.2 Pharmaceutical Development'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '2.4-nonclinical-overview.pdf', 'suggested_target_page': 4, 'semantic_title_context': '2.4.3 Pharmacokinetics'}]","2.5-clinical-overview.pdf","3","ROUTED"
"14","2026-05-28 12:31:07","2.5-clinical-overview.pdf","Sections 5.3.3.2","...tablished in two pivotal Phase III studies. Full study reports are in Module 5 (Sections 5.3.3.2 and 5.3.3.3); the integrated efficacy summary is in Section 2.7.3.  Study NXV-3...","RECOMMENDATION: 1  
REASON: The snippet points to full Phase III pivotal study reports in Module 5, and Option 1 is the only Module 5 Phase III pivotal study section matching that intent.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '5.3.4.2-phase3-study1.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Section 5.3.4.2 Phase III Pivotal Study NXV-301'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '2.2-introduction.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.2.4 Overview of Clinical Development Program'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '2.5-clinical-overview.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.5.4 Overview of Efficacy'}]","5.3.4.2-phase3-study1.pdf","3","ROUTED"
"15","2026-05-28 12:32:26","2.5-clinical-overview.pdf","Section 2.7.3","...Module 5 (Sections 5.3.3.2 and 5.3.3.3); the integrated efficacy summary is in Section 2.7.3.  Study NXV-301 (n=892): 12-week, double-blind, placebo-controlled. Primary end...","RECOMMENDATION: Option 1  
REASON: The snippet is describing the design and key elements of Study NXV-301, which aligns most directly with the specific Module 5 clinical study report section for the Phase III pivotal study NXV-301.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '5.3.4.2-phase3-study1.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Section 5.3.4.2 Phase III Pivotal Study NXV-301'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '2.5-clinical-overview.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.5.4 Overview of Efficacy'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '5.3.4.2-phase3-study1.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Nexivarin 10 mg Tablets - eCTD Submission Module 5 - Clinical Study Reports'}]","","0","SKIPPED"
"16","2026-05-28 12:32:55","2.5-clinical-overview.pdf","Section 5.3.4.2","...cal Overview"" -->  were also met. The full clinical study report is provided in Section 5.3.4.2 (Module 5).   <table> <tr> <th>Endpoint</th> <th>Nexivarin 10 mg</th> <th>Place...","RECOMMENDATION: Option 1  
REASON: The snippet explicitly cites the full clinical study report in Section 5.3.4.2 (Module 5), which corresponds to the Module 5 clinical study report document.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '5.3.4.2-phase3-study1.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Nexivarin 10 mg Tablets - eCTD Submission Module 5 - Clinical Study Reports'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '5.3.4.2-phase3-study1.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Primary Efficacy Results (ITT, LOCF)'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '5.2-tabular-listing.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Nexivarin 10 mg Tablets - eCTD Submission Module 5 - Clinical Study Reports'}]","5.3.4.2-phase3-study1.pdf","3","ROUTED"
"17","2026-05-28 12:33:55","2.5-clinical-overview.pdf","Section 5.3.3.3","...Section 5.3.4.2 (Module 5). Study NXV-302 non-inferiority data are provided in Section 5.3.3.3 (Module 5); as described in that section, nexivarin 10 mg met the NI margin vs....","RECOMMENDATION: NONE  
REASON: The snippet points to Section 5.3.3.3 for NXV-302 non-inferiority data, but none of the options correspond to Module 5 Section 5.3.3.3 or Study NXV-302.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '2.5-clinical-overview.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.5.4 Overview of Efficacy'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '5.3.4.2-phase3-study1.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Section 5.3.4.2 Phase III Pivotal Study NXV-301'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '5.3.4.2-phase3-study1.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Nexivarin 10 mg Tablets - eCTD Submission Module 5 - Clinical Study Reports'}]","5.3.4.2-phase3-study1.pdf","3","ROUTED"
"18","2026-05-28 12:34:41","2.5-clinical-overview.pdf","Section 5.3.4.3","...events data by system organ class (SOC) and preferred term (PT) are provided in Section 5.3.4.3 (Module 5). Adverse events of special interest are listed in Table 1 of Section...","RECOMMENDATION: Option 1  
REASON: The snippet specifically refers to “Adverse events of special interest” being listed in a table within the referenced section, which directly matches the title of Section 5.3.4.3.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '5.3.4-integrated-safety.pdf', 'suggested_target_page': 3, 'semantic_title_context': '5.3.4.3 Adverse Events of Special Interest'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '2.5-clinical-overview.pdf', 'suggested_target_page': 4, 'semantic_title_context': '2.5.5 Overview of Safety'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '5.3.4-integrated-safety.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Nexivarin 10 mg Tablets - eCTD Submission Module 5 - Clinical Study Reports'}]","5.3.4-integrated-safety.pdf","3","ROUTED"
"19","2026-05-28 12:35:21","2.5-clinical-overview.pdf","Section 5.3.4.4","...cial interest are listed in Table 1 of Section 5.3.4.3. Deaths are described in Section 5.3.4.4 (Module 5); no deaths were related to nexivarin.   ### 2.5.6 Benefit/Risk Asses...","RECOMMENDATION: Option 2  
REASON: The snippet explicitly cites “Deaths are described in Section 5.3.4.4 (Module 5),” which directly matches the “5.3.4.4 Deaths” target.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '2.5-clinical-overview.pdf', 'suggested_target_page': 4, 'semantic_title_context': '2.5.6 Benefit/Risk Assessment'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '5.3.4-integrated-safety.pdf', 'suggested_target_page': 3, 'semantic_title_context': '5.3.4.4 Deaths'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '2.5-clinical-overview.pdf', 'suggested_target_page': 4, 'semantic_title_context': '2.5.5 Overview of Safety'}]","5.3.4-integrated-safety.pdf","3","ROUTED"
"20","2026-05-28 12:36:02","2.5-clinical-overview.pdf","Sections 5.3.1","...al edema than amlodipine (see Section 5.3.4), and a predictable PK profile (see Sections 5.3.1 and 2.7.2) supporting reliable once-daily dosing. The nonclinical safety data (...","RECOMMENDATION: Option 2  
REASON: The snippet cites “Section 5.3.4” in the context of edema/safety, which aligns directly with the Integrated Safety Conclusion within Module 5.3.4.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '2.5-clinical-overview.pdf', 'suggested_target_page': 4, 'semantic_title_context': '2.5.6 Benefit/Risk Assessment'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '5.3.4-integrated-safety.pdf', 'suggested_target_page': 3, 'semantic_title_context': '5.3.4.5 Integrated Safety Conclusion'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '4.2.1.3-safety-pharm.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Cardiovascular Safety Pharmacology (ICH S7B)'}]","5.3.4-integrated-safety.pdf","3","ROUTED"
"1","2026-05-28 15:43:12","2.4-nonclinical-overview.pdf","Sections 2.6.1","...through 4.2.3). The nonclinical written and tabulated summaries are provided in Sections 2.6.1 through 2.6.6 of this Module 2.  Refer to Section 4.1 (Module 4 Table of Conten...","RECOMMENDATION: NONE  
REASON: The snippet explicitly refers to “Section 4.1 (Module 4 Table of Contents),” and none of the options are in Module 4 or Section 4.1.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '2.4-nonclinical-overview.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.4.1 Overview of the Nonclinical Testing Strategy'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '2.4-nonclinical-overview.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Nexivarin 10 mg Tablets - eCTD Submission Module 2 - CTD Summaries'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '2.2-introduction.pdf', 'suggested_target_page': 1, 'semantic_title_context': 'Excerpt 1'}]","","0","SKIPPED"
"2","2026-05-28 15:43:45","2.4-nonclinical-overview.pdf","Section 4.1","...maries are provided in Sections 2.6.1 through 2.6.6 of this Module 2.  Refer to Section 4.1 (Module 4 Table of Contents) for a complete listing of all nonclinical studies...","RECOMMENDATION: Option 3  
REASON: The snippet points to Module 4 for a complete listing of nonclinical studies, and Option 3 is a Module 4 nonclinical study report section (unlike the Module 2 overview or Module 5 clinical content).","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '2.4-nonclinical-overview.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.4.1 Overview of the Nonclinical Testing Strategy'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '5.2-tabular-listing.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Nexivarin 10 mg Tablets - eCTD Submission Module 5 - Clinical Study Reports'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '4.2.1.3-safety-pharm.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Nexivarin 10 mg Tablets - eCTD Submission Module 4 - Nonclinical Study Reports'}]","4.2.1.3-safety-pharm.pdf","3","ROUTED"
"3","2026-05-28 15:44:25","2.4-nonclinical-overview.pdf","Section 4.2.1.3","...espiratory effects were observed. Full safety pharmacology study reports are in Section 4.2.1.3 (Module 4).  As described in Section 4.2.1.3 (Module 4), cardiovascular, CNS, a...","RECOMMENDATION: Option 2  
REASON: The snippet cites Section 4.2.1.3 in Module 4 and discusses respiratory/cardiovascular/CNS safety pharmacology, which matches the specific respiratory safety pharmacology section within the Module 4 safety pharmacology report.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '2.4-nonclinical-overview.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Safety Pharmacology'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '4.2.1.3-safety-pharm.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Respiratory Safety Pharmacology (ICH S7A Core Battery)'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '4.2.1.3-safety-pharm.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Nexivarin 10 mg Tablets - eCTD Submission Module 4 - Nonclinical Study Reports'}]","4.2.1.3-safety-pharm.pdf","3","ROUTED"
"4","2026-05-28 15:44:50","2.4-nonclinical-overview.pdf","Section 4.2.2.2","...Table 2.4-2 are extracted from the full nonclinical PK reports in Module 4 (see Section 4.2.2.2 for absorption studies, Section 4.2.2.3 for distribution, Section 4.2.2.4 for m...","RECOMMENDATION: Option 1  
REASON: The snippet discusses nonclinical PK data summarized in Module 2.4 with detailed reports in Module 4, aligning with the Pharmacokinetics section of the Nonclinical Overview.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '2.4-nonclinical-overview.pdf', 'suggested_target_page': 4, 'semantic_title_context': '2.4.3 Pharmacokinetics'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '2.5-clinical-overview.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.5.3 Overview of Clinical Pharmacology'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '4.2.3.2-repeat-dose-tox.pdf', 'suggested_target_page': 3, 'semantic_title_context': '4.2.3.2 Repeat-Dose Toxicity Studies'}]","2.4-nonclinical-overview.pdf","4","ROUTED"
"5","2026-05-28 15:45:15","2.4-nonclinical-overview.pdf","Section 4.2.2.3","...nonclinical PK reports in Module 4 (see Section 4.2.2.2 for absorption studies, Section 4.2.2.3 for distribution, Section 4.2.2.4 for metabolism, and Section 4.2.2.5 for excre...","RECOMMENDATION: NONE  
REASON: The snippet cites Module 4 ADME subsections (4.2.2.2–4.2.2.5), which do not correspond to any of the provided Module 2 overview sections.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '2.4-nonclinical-overview.pdf', 'suggested_target_page': 4, 'semantic_title_context': '2.4.3 Pharmacokinetics'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '2.5-clinical-overview.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.5.3 Overview of Clinical Pharmacology'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '2.4-nonclinical-overview.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.4.1 Overview of the Nonclinical Testing Strategy'}]","","0","SKIPPED"
"6","2026-05-28 15:47:06","2.4-nonclinical-overview.pdf","Section 4.2.2.4","...(see Section 4.2.2.2 for absorption studies, Section 4.2.2.3 for distribution, Section 4.2.2.4 for metabolism, and Section 4.2.2.5 for excretion). Metabolite profiling data a...","RECOMMENDATION: Option 1  
REASON: The snippet cites ADME subsections (absorption, distribution, metabolism, excretion) and metabolite profiling, which aligns with the nonclinical pharmacokinetics overview section.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '2.4-nonclinical-overview.pdf', 'suggested_target_page': 4, 'semantic_title_context': '2.4.3 Pharmacokinetics'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '2.5-clinical-overview.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.5.3 Overview of Clinical Pharmacology'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '2.5-clinical-overview.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.5.2 Overview of Biopharmaceutics'}]","2.4-nonclinical-overview.pdf","4","ROUTED"
